"","date","time","open","high","low","close","vol"
"4","2021/3/6","08:45:00.198",16001,16002,16001,16002,12
"5","2021/3/3","08:45:00.281",16000,16000,16000,16000,3
"6","2021/3/3","08:45:00.281",15998,15998,15997,15997,7
"7","2021/3/3","08:45:00.282",16001,16002,16001,16002,4
"8","2021/3/3","08:45:00.365",16001,16001,15998,15998,2
"9","2021/3/3","08:45:00.379",15997,16001,15997,16001,4
"10","2021/3/3","08:45:00.426",16002,16002,15999,15999,4
"11","2021/3/3","08:45:00.426",15998,15998,15997,15997,4
"12","2021/3/3","08:45:00.497",16002,16002,16001,16001,2
"13","2021/3/3","08:45:00.502",16002,16002,15999,15999,4
"14","2021/3/3","08:45:00.502",15998,15998,15997,15997,9
"15","2021/3/3","08:45:00.511",16001,16002,16001,16002,2
"16","2021/3/3","08:45:00.549",15998,15998,15998,15998,3
"17","2021/3/3","08:45:00.592",16001,16001,16001,16001,2
"18","2021/3/3","08:45:00.604",15998,16002,15998,16002,3
"19","2021/3/3","08:45:00.605",15999,15999,15998,15998,3
"20","2021/3/3","08:45:00.606",15997,16000,15997,16000,8
"21","2021/3/3","08:45:00.613",15998,15998,15997,15997,2
"22","2021/3/3","08:45:00.619",15997,15999,15997,15999,2
"23","2021/3/3","08:45:00.645",15997,15997,15997,15997,5
"24","2021/3/3","08:45:00.647",15999,16000,15999,16000,2
"25","2021/3/3","08:45:00.648",16000,16000,16000,16000,2
"26","2021/3/3","08:45:00.663",15999,16000,15999,16000,2
"27","2021/3/3","08:45:00.665",15998,15998,15997,15997,3
"28","2021/3/3","08:45:00.683",16001,16002,16001,16002,2
"29","2021/3/3","08:45:00.685",16003,16003,16002,16002,3
"30","2021/3/3","08:45:00.708",16000,16000,16000,16000,2
"31","2021/3/3","08:45:00.741",16000,16003,16000,16003,2
"32","2021/3/3","08:45:00.753",16002,16003,16002,16003,3
"33","2021/3/3","08:45:00.761",16000,16003,16000,16003,2
"34","2021/3/3","08:45:00.767",16001,16001,16000,16000,2
"35","2021/3/3","08:45:00.769",16000,16003,16000,16003,2
"36","2021/3/3","08:45:00.781",15998,15998,15997,15997,3
"37","2021/3/3","08:45:00.814",16002,16002,16002,16002,2
"38","2021/3/3","08:45:00.874",15999,16002,15999,16002,2
"39","2021/3/3","08:45:00.885",16002,16002,16000,16000,2
"40","2021/3/3","08:45:00.900",16001,16002,16001,16002,3
"41","2021/3/3","08:45:00.942",15998,16002,15998,16002,2
"42","2021/3/3","08:45:01.000",16003,16003,16003,16003,3
"43","2021/3/3","08:45:01.007",16001,16001,16000,16000,2
"44","2021/3/3","08:45:01.007",15999,15999,15999,15999,6
"45","2021/3/3","08:45:01.062",15999,15999,15999,15999,2
"46","2021/3/3","08:45:01.077",16003,16003,16003,16003,3
"47","2021/3/3","08:45:01.096",16004,16004,16002,16002,2
"48","2021/3/3","08:45:01.112",16001,16001,16001,16001,2
"49","2021/3/3","08:45:01.116",16003,16004,16003,16004,2
"50","2021/3/3","08:45:01.137",16002,16003,16002,16003,3
"51","2021/3/3","08:45:01.204",16003,16004,16003,16004,3
"52","2021/3/3","08:45:01.225",16000,16000,16000,16000,2
"53","2021/3/3","08:45:01.257",15999,15999,15999,15999,2
"54","2021/3/3","08:45:01.261",16003,16004,16003,16004,3
"55","2021/3/3","08:45:01.272",15998,16001,15998,16001,4
"56","2021/3/3","08:45:01.312",16001,16003,16001,16003,2
"57","2021/3/3","08:45:01.350",16003,16003,15998,15998,3
"58","2021/3/3","08:45:01.369",15997,15997,15997,15997,3
"59","2021/3/3","08:45:01.406",16001,16002,16001,16002,2
"60","2021/3/3","08:45:01.450",16003,16003,16001,16001,3
"61","2021/3/3","08:45:01.460",16003,16003,15999,15999,3
"62","2021/3/3","08:45:01.470",15999,15999,15998,15998,3
